date,time,temp,humidity,description,wind_speed
2026-05-15,13:33:48,22.62,56,scattered clouds,2.57
2026-05-16,12:00:16,20.62,64,broken clouds,3.09
2026-05-17,12:04:34,20.93,68,broken clouds,2.57
2026-05-18,12:05:05,19.93,73,light rain,3.6
2026-05-18,12:59:16,20.62,64,light rain,3.09
2026-05-19,12:00:25,21.62,60,broken clouds,1.54
2026-05-20,12:29:16,21.93,60,scattered clouds,4.12
2026-05-20,12:30:50,21.93,60,scattered clouds,4.12
2026-05-20,12:31:49,21.93,60,scattered clouds,4.12
2026-05-20,14:46:56,23.93,50,broken clouds,5.14
2026-05-21,12:00:14,21.62,60,light rain,2.06
2026-05-22,12:00:14,20.93,64,broken clouds,3.09
2026-05-23,13:17:54,21.54,66,overcast clouds,1.91
2026-05-23,16:01:10,25.93,44,broken clouds,10.29
2026-05-24,14:08:09,23.79,53,scattered clouds,3.84
2026-05-24,14:14:13,23.79,53,scattered clouds,3.84
2026-05-25,12:00:15,18.93,77,broken clouds,2.57
